2025-01-10T14:13:19.133Z | direct | GET /_app/immutable/nodes/0.4rJ_YhoR.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.134Z | direct | GET /_app/immutable/nodes/3.aPUWUty7.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.134Z | direct | GET /_app/immutable/chunks/index.-g_7zAf5.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.135Z | direct | GET /_app/immutable/chunks/TopNavBar.aBmXi7hy.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.135Z | direct | GET /_app/immutable/nodes/8.Wx0s70oc.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.173Z | direct | GET /_app/immutable/chunks/config.iF1H_h3-.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:19.179Z | direct | GET /global.css | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:20.047Z | direct | GET /_app/immutable/nodes/1._mS48qp1.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:20.047Z | direct | GET /_app/immutable/assets/1.glB7ctAe.css | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:20.456Z | direct | GET /api/numbers | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:20.457Z | direct | GET /api/numbers | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:26.995Z | direct | GET /_app/immutable/assets/9.x193i5gJ.css | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:26.995Z | direct | GET /_app/immutable/nodes/9.T9hVswv_.js | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:27.063Z | direct | GET /arcade_thumbnails/screenshot_jaeyong_jump.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
2025-01-10T14:13:27.064Z | direct | GET /arcade_thumbnails/screenshot_dodge_star.png | 200 | Mozilla/5.0 (iPhone; CPU iPhone OS 18_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) FxiOS/134.0  Mobile/15E148 Safari/605.1.15
